node1,node2
fox broadcasting            ,nike
fox broadcasting            ,nfl
fox broadcasting            ,fox point
fox broadcasting            ,nfl
fox broadcasting            ,navajo
fox broadcasting            ,nfl
fox broadcasting            ,google
fox broadcasting            ,fox
fox broadcasting            ,bill penzey
fox broadcasting            ,fox point
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox news,fox
fox news,bill penzey
fox news,fox point
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,bill penzey
fox,fox point
nfl,republican party
nfl,edwin starr song war
nfl,nike
nfl,nfl
nfl,fox point
nfl,nfl
nfl,navajo
nfl,nfl
nfl,google
nfl,fox
nfl,bill penzey
nfl,fox point
republican party,edwin starr song war
republican party,nike
republican party,nfl
republican party,fox point
republican party,nfl
republican party,navajo
republican party,nfl
republican party,google
republican party,fox
republican party,bill penzey
republican party,fox point
edwin starr song war,nike
edwin starr song war,nfl
edwin starr song war,fox point
edwin starr song war,nfl
edwin starr song war,navajo
edwin starr song war,nfl
edwin starr song war,google
edwin starr song war,fox
edwin starr song war,bill penzey
edwin starr song war,fox point
nike,nfl
nike,fox point
nike,nfl
nike,navajo
nike,nfl
nike,google
nike,fox
nike,bill penzey
nike,fox point
nfl,fox point
nfl,nfl
nfl,navajo
nfl,nfl
nfl,google
nfl,fox
nfl,bill penzey
nfl,fox point
fox point,nfl
fox point,navajo
fox point,nfl
fox point,google
fox point,fox
fox point,bill penzey
fox point,fox point
nfl,navajo
nfl,nfl
nfl,google
nfl,fox
nfl,bill penzey
nfl,fox point
navajo,nfl
navajo,google
navajo,fox
navajo,bill penzey
navajo,fox point
nfl,google
nfl,fox
nfl,bill penzey
nfl,fox point
google,fox
google,bill penzey
google,fox point
fox,bill penzey
fox,fox point
bill penzey,fox point
zephyr,zephyr
zephyr,zephyr    voice       
zephyr,zephyr    voice       
dean phillips,congress
dean phillips,congress
dean phillips,supreme court
dean phillips,united
congress,congress
congress,supreme court
congress,united
congress,supreme court
congress,united
supreme court,united
trump,brett kavanaugh
trump,kennedy
trump,supreme court
trump,senate
brett kavanaugh,kennedy
brett kavanaugh,supreme court
brett kavanaugh,senate
kennedy,supreme court
kennedy,senate
supreme court,senate
susan collins,senate
susan collins,supreme court
susan collins,brett kavanaugh   
susan collins,susan collins
susan collins,supreme court
senate,supreme court
senate,brett kavanaugh   
senate,susan collins
senate,supreme court
supreme court,brett kavanaugh   
supreme court,susan collins
supreme court,supreme court
brett kavanaugh   ,susan collins
brett kavanaugh   ,supreme court
susan collins,supreme court
cynthia kaump,cynthia
cynthia kaump,treasurer cynthia
cynthia kaump,ismael ozanne
cynthia kaump,cynthia kaump
cynthia,treasurer cynthia
cynthia,ismael ozanne
cynthia,cynthia kaump
treasurer cynthia,ismael ozanne
treasurer cynthia,cynthia kaump
ismael ozanne,cynthia kaump
kamala harris,brett kavanaugh
kamala harris,supreme court
brett kavanaugh,supreme court
ammar campa,congress
ammar campa,duncan hunter
congress,duncan hunter
jim jordan,jordan
jim jordan,jim jordan
jordan,jim jordan
tom udall,interior
tom udall,zinke
interior,zinke
supreme court,brett kavanaugh
supreme court,trump
supreme court,supreme court
brett kavanaugh,trump
brett kavanaugh,supreme court
trump,supreme court
kelda roys,kelda
kelda roys,kelda
kelda,kelda
beto rourke,beto
beto rourke,ted cruz
beto,ted cruz
moveon   ,roe
moveon   ,susan collins
moveon   ,brett kavanaugh
moveon   ,supreme court
roe,susan collins
roe,brett kavanaugh
roe,supreme court
susan collins,brett kavanaugh
susan collins,supreme court
brett kavanaugh,supreme court
elizabeth warren,brett kavanaugh
elizabeth warren,senate
elizabeth warren,grassroots army
brett kavanaugh,senate
brett kavanaugh,grassroots army
senate,grassroots army
moveon,fbi
moveon,robert mueller
fbi,robert mueller
andy kim,congress
andy kim,眯睷瀮湥敺獹
congress,眯睷瀮湥敺獹
aclu   ,aclu voter
aclu   ,aclu voter
aclu voter,aclu voter
eric ward,eric
eric ward,activism
eric,activism
trump,brett kavanaugh
trump,kennedy
trump,supreme court
trump,senate
brett kavanaugh,kennedy
brett kavanaugh,supreme court
brett kavanaugh,senate
kennedy,supreme court
kennedy,senate
supreme court,senate
mike collier,mike
mike collier,mike   
