node1,node2
texas,senate
texas,hundreds  thousands
texas,november
beto   ,ted cruz
beto   ,senate
beto   ,senate
beto   ,hundreds  thousands
beto   ,november
ted cruz,senate
ted cruz,senate
ted cruz,hundreds  thousands
ted cruz,november
senate,senate
senate,hundreds  thousands
senate,november
senate,hundreds  thousands
senate,november
hundreds  thousands,november
kevin cramer,heidi heitkamp
kevin cramer,november
kevin cramer,north dakota
kevin cramer,washington
heidi heitkamp,november
heidi heitkamp,north dakota
heidi heitkamp,washington
november,north dakota
november,washington
north dakota,washington
kevin lopez,texas senate
kevin lopez,senate
kevin lopez,parks ray roberts lakeisle
kevin lopez,mark stewart
kevin lopez,du bois
kevin lopez,du bois
kevin lopez,ray roberts nature center
kevin lopez,du bois
kevin lopez,denton
kevin lopez,million
kevin lopez,denton
kevin lopez,thousand
kevin lopez,denton county
kevin lopez,texas
kevin lopez,senate
kevin lopez,parks    
kevin lopez,texas
kevin lopez,texas
texas senate,senate
texas senate,parks ray roberts lakeisle
texas senate,mark stewart
texas senate,du bois
texas senate,du bois
texas senate,ray roberts nature center
texas senate,du bois
texas senate,denton
texas senate,million
texas senate,denton
texas senate,thousand
texas senate,denton county
texas senate,texas
texas senate,senate
texas senate,parks    
texas senate,texas
texas senate,texas
senate,parks ray roberts lakeisle
senate,mark stewart
senate,du bois
senate,du bois
senate,ray roberts nature center
senate,du bois
senate,denton
senate,million
senate,denton
senate,thousand
senate,denton county
senate,texas
senate,senate
senate,parks    
senate,texas
senate,texas
parks ray roberts lakeisle,mark stewart
parks ray roberts lakeisle,du bois
parks ray roberts lakeisle,du bois
parks ray roberts lakeisle,ray roberts nature center
parks ray roberts lakeisle,du bois
parks ray roberts lakeisle,denton
parks ray roberts lakeisle,million
parks ray roberts lakeisle,denton
parks ray roberts lakeisle,thousand
parks ray roberts lakeisle,denton county
parks ray roberts lakeisle,texas
parks ray roberts lakeisle,senate
parks ray roberts lakeisle,parks    
parks ray roberts lakeisle,texas
parks ray roberts lakeisle,texas
mark stewart,du bois
mark stewart,du bois
mark stewart,ray roberts nature center
mark stewart,du bois
mark stewart,denton
mark stewart,million
mark stewart,denton
mark stewart,thousand
mark stewart,denton county
mark stewart,texas
mark stewart,senate
mark stewart,parks    
mark stewart,texas
mark stewart,texas
du bois,du bois
du bois,ray roberts nature center
du bois,du bois
du bois,denton
du bois,million
du bois,denton
du bois,thousand
du bois,denton county
du bois,texas
du bois,senate
du bois,parks    
du bois,texas
du bois,texas
du bois,ray roberts nature center
du bois,du bois
du bois,denton
du bois,million
du bois,denton
du bois,thousand
du bois,denton county
du bois,texas
du bois,senate
du bois,parks    
du bois,texas
du bois,texas
ray roberts nature center,du bois
ray roberts nature center,denton
ray roberts nature center,million
ray roberts nature center,denton
ray roberts nature center,thousand
ray roberts nature center,denton county
ray roberts nature center,texas
ray roberts nature center,senate
ray roberts nature center,parks    
ray roberts nature center,texas
ray roberts nature center,texas
du bois,denton
du bois,million
du bois,denton
du bois,thousand
du bois,denton county
du bois,texas
du bois,senate
du bois,parks    
du bois,texas
du bois,texas
denton,million
denton,denton
denton,thousand
denton,denton county
denton,texas
denton,senate
denton,parks    
denton,texas
denton,texas
million,denton
million,thousand
million,denton county
million,texas
million,senate
million,parks    
million,texas
million,texas
denton,thousand
denton,denton county
denton,texas
denton,senate
denton,parks    
denton,texas
denton,texas
thousand,denton county
thousand,texas
thousand,senate
thousand,parks    
thousand,texas
thousand,texas
denton county,texas
denton county,senate
denton county,parks    
denton county,texas
denton county,texas
texas,senate
texas,parks    
texas,texas
texas,texas
senate,parks    
senate,texas
senate,texas
parks    ,texas
parks    ,texas
texas,texas
vote kim,kim
vote kim,social justice
vote kim,maui
